placement,entrant_name,user_id,event_id,event_date
1,Zain,2616,944473,2024-03-15
2,Liquid | Hungrybox,8916,944473,2024-03-15
3,Cody Schwab,11403,944473,2024-03-15
4,moist | moky,1672,944473,2024-03-15
5,C9 | Mang0,11097,944473,2024-03-15
5,Joshman,53361,944473,2024-03-15
7,NOUNS | Salt,75333,944473,2024-03-15
7,woo | Magi,2878,944473,2024-03-15
9,Jmook,10563,944473,2024-03-15
9,SSP | 69% | Trif,14228,944473,2024-03-15
9,Agency | Wally,18401,944473,2024-03-15
9,Mango's Friend | Lucky,8768,944473,2024-03-15
13,Spark,52,944473,2024-03-15
13,SDJ,26405,944473,2024-03-15
13,NOOT | 404Cray,46781,944473,2024-03-15
13,Ranked Mode | Nicki,12872,944473,2024-03-15
17,lloD,10070,944473,2024-03-15
17,Aklo,182985,944473,2024-03-15
17,Ossify,182926,944473,2024-03-15
17,Junebug,2150,944473,2024-03-15
17,Ginger,244,944473,2024-03-15
17,DrLobster,9691,944473,2024-03-15
17,DJM | Chem,476646,944473,2024-03-15
17,Swedish Delight,1118,944473,2024-03-15
25,KoDoRiN,17545,944473,2024-03-15
25,Rishi,8082,944473,2024-03-15
25,bonfire10,409,944473,2024-03-15
25,Squid,1219,944473,2024-03-15
25,Faust,20220,944473,2024-03-15
25,DTL | Wevans,98863,944473,2024-03-15
25,CF | Kevin Maples,31513,944473,2024-03-15
25,Khryke,181156,944473,2024-03-15
33,Spiral Cafe | Krudo,86490,944473,2024-03-15
33,E-tie,146022,944473,2024-03-15
33,Project,41702,944473,2024-03-15
33,Tito JoJo,95843,944473,2024-03-15
33,Fro116,38590,944473,2024-03-15
33,Maelstrom,223528,944473,2024-03-15
33,JJM,480019,944473,2024-03-15
33,NSE | Maher,39160,944473,2024-03-15
33,CG | Inky,90114,944473,2024-03-15
33,TheSWOOPER,38250,944473,2024-03-15
33,NOOT | Panda,18544,944473,2024-03-15
33,Matteo,2381,944473,2024-03-15
33,Adwan,39992,944473,2024-03-15
33,Jflex,950,944473,2024-03-15
33,Bbatts,382111,944473,2024-03-15
33,OUG | Electroman,149864,944473,2024-03-15
49,Kevbot,7115,944473,2024-03-15
49,Jude,98230,944473,2024-03-15
49,Kwyet,36054,944473,2024-03-15
49,Fudge,490091,944473,2024-03-15
49,Oasis | Bekvin,110642,944473,2024-03-15
49,Mono,94352,944473,2024-03-15
49,Porkers,433867,944473,2024-03-15
49,Daniel,1454349,944473,2024-03-15
49,BLE | Mot$,172392,944473,2024-03-15
49,MF | KJH,137,944473,2024-03-15
49,BLE | Logan,44941,944473,2024-03-15
49,MMG | eve,37713,944473,2024-03-15
49,Preeminent,216765,944473,2024-03-15
49,DTL | 2saint,12269,944473,2024-03-15
49,Bigbuffalo,41518,944473,2024-03-15
49,Juicebox,2764,944473,2024-03-15
65,Puppy,225461,944473,2024-03-15
65,Zuppy,4199,944473,2024-03-15
65,LG | Louis,34943,944473,2024-03-15
65,Guava,16887,944473,2024-03-15
65,Nanami,2154378,944473,2024-03-15
65,K8A,6856,944473,2024-03-15
65,bab_o7,11934,944473,2024-03-15
65,Nix,37652,944473,2024-03-15
65,Miffee,130196,944473,2024-03-15
65,Younger,339,944473,2024-03-15
65,Arias,41803,944473,2024-03-15
65,C2F | Agent,16679,944473,2024-03-15
65,33 toes,455749,944473,2024-03-15
65,DE HEAT | chaka,74494,944473,2024-03-15
65,Goodie,739438,944473,2024-03-15
65,Tazio,4458,944473,2024-03-15
65,DTL | Kero,153032,944473,2024-03-15
65,LG BT | bonn,689219,944473,2024-03-15
65,VT | Kibbles,2799,944473,2024-03-15
65,Oasis | Dr. Lame,64128,944473,2024-03-15
65,DJM | Asidyx,48173,944473,2024-03-15
65,Nation,929,944473,2024-03-15
65,mossy mat,1556890,944473,2024-03-15
65,PBI | Jada,11017,944473,2024-03-15
65,Willy P,531324,944473,2024-03-15
65,Brad,734387,944473,2024-03-15
65,KCG | lynxwynx,249027,944473,2024-03-15
65,StockControllr | Skerzo,135239,944473,2024-03-15
65,Limecat,1762281,944473,2024-03-15
65,StocGaming|MP | Bank,175701,944473,2024-03-15
65,Axis,45520,944473,2024-03-15
65,UMF | Poonslayer7,11784,944473,2024-03-15
97,WatchingTime,30146,944473,2024-03-15
97,Arn255,926841,944473,2024-03-15
97,shoelegend88,35666,944473,2024-03-15
97,Trevor,3985,944473,2024-03-15
97,Phil D. Beverage,680143,944473,2024-03-15
97,codeman,8486,944473,2024-03-15
97,Abel,9891,944473,2024-03-15
97,rusty,24826,944473,2024-03-15
97,Quist,13588,944473,2024-03-15
97,Petey Walnuts,13128,944473,2024-03-15
