placement,entrant_name,user_id,event_id,event_date
1,moist | moky,1672,1103262,2024-11-16
2,Nouns | Aklo,182985,1103262,2024-11-16
3,NOUNS | Nicki,12872,1103262,2024-11-16
4,MxM | Joshman,53361,1103262,2024-11-16
5,Zain,2616,1103262,2024-11-16
5,Liquid | Hungrybox,8916,1103262,2024-11-16
7,Nouns | Cody Schwab,11403,1103262,2024-11-16
7,SDJ,26405,1103262,2024-11-16
9,Red Bull IFM | aMSa,22302,1103262,2024-11-16
9,FLY | Jmook,10563,1103262,2024-11-16
9,Axe,10806,1103262,2024-11-16
9,Spiral Cafe | Krudo,86490,1103262,2024-11-16
13,TSM | Leffen,1028,1103262,2024-11-16
13,S2J,8968,1103262,2024-11-16
13,Salt,75333,1103262,2024-11-16
13,Swedish Delight,1118,1103262,2024-11-16
17,SSP | 69% | Trif,14228,1103262,2024-11-16
17,MF | KoDoRiN,17545,1103262,2024-11-16
17,Lil | Junebug,2150,1103262,2024-11-16
17,lloD,10070,1103262,2024-11-16
17,Aura,34391,1103262,2024-11-16
17,eggdog | Zamu,15053,1103262,2024-11-16
17,UWRF | Ben,467537,1103262,2024-11-16
17,OkayP.,273503,1103262,2024-11-16
25,LG | Wizzrobe,1719,1103262,2024-11-16
25,Eggdog | Medz,31364,1103262,2024-11-16
25,Ossify,182926,1103262,2024-11-16
25,Preeminent,216765,1103262,2024-11-16
25,OAS | RC | mayb,42297,1103262,2024-11-16
25,RC | Zuppy,4199,1103262,2024-11-16
25,RSN | Frenzy,5872,1103262,2024-11-16
25,Khalid,38699,1103262,2024-11-16
33,Nerin,3808,1103262,2024-11-16
33,LG | Soonsay,222015,1103262,2024-11-16
33,Fiction,24347,1103262,2024-11-16
33,BTE | n0ne,664,1103262,2024-11-16
33,upstate | Zanya,171588,1103262,2024-11-16
33,LFTG | Logos,11004,1103262,2024-11-16
33,CF | JSalt,3485,1103262,2024-11-16
33,Eggdog | Faust,20220,1103262,2024-11-16
33,ABG | | KoopaTroopa895,602,1103262,2024-11-16
33,ABG | Zeo,789,1103262,2024-11-16
33,RC | Kacey,77088,1103262,2024-11-16
33,CF | CPU0,275369,1103262,2024-11-16
33,GUG | Vegas Matt,28505,1103262,2024-11-16
33,The Weapon,3823,1103262,2024-11-16
33,12th | NOOT,170698,1103262,2024-11-16
33,ABG | salami,194471,1103262,2024-11-16
49,eggdog | Spark,52,1103262,2024-11-16
49,Mono,94352,1103262,2024-11-16
49,CLM/JPM | Skerzo,135239,1103262,2024-11-16
49,BLE | SluG,38172,1103262,2024-11-16
49,Dawson,86809,1103262,2024-11-16
49,DayDream,5131,1103262,2024-11-16
49,ZODD-01,4384,1103262,2024-11-16
49,ASS | Stiv,630747,1103262,2024-11-16
49,69% | RLE | mvlvchi,2149992,1103262,2024-11-16
49,MOJOE,9071,1103262,2024-11-16
49,Polo,44920,1103262,2024-11-16
49,teccskill | nut,8289,1103262,2024-11-16
49,Pbag | Graves,1079250,1103262,2024-11-16
49,Dacky,33997,1103262,2024-11-16
49,Rocky,773,1103262,2024-11-16
49,max,1640387,1103262,2024-11-16
65,mondays,3316,1103262,2024-11-16
65,rainy,16666,1103262,2024-11-16
65,Zvara,1470350,1103262,2024-11-16
65,F5 | God's Only Son,282206,1103262,2024-11-16
