placement,entrant_name,user_id,event_id,event_date
1,Nouns | Cody Schwab,11403,1206359,2024-09-01
2,Red Bull IFM | aMSa,22302,1206359,2024-09-01
3,Liquid | Hungrybox,8916,1206359,2024-09-01
4,Zain,2616,1206359,2024-09-01
5,C9 | Mang0,11097,1206359,2024-09-01
5,Junebug,2150,1206359,2024-09-01
7,Nouns | Aklo,182985,1206359,2024-09-01
7,moist | moky,1672,1206359,2024-09-01
9,SSP | 69% | Trif,14228,1206359,2024-09-01
9,LG | Wizzrobe,1719,1206359,2024-09-01
9,Nicki,12872,1206359,2024-09-01
9,MF | KoDoRiN,17545,1206359,2024-09-01
13,Aura,34391,1206359,2024-09-01
13,LG | Soonsay,222015,1206359,2024-09-01
13,Spark,52,1206359,2024-09-01
13,S2J,8968,1206359,2024-09-01
