placement,entrant_name,user_id,event_id,event_date
1,69% | Cody Schwab,11403,985241,2024-02-16
2,Red Bull IFM | aMSa,22302,985241,2024-02-16
3,Zain,2616,985241,2024-02-16
4,moist | moky,1672,985241,2024-02-16
5,FLY | Jmook,10563,985241,2024-02-16
5,TSM | Leffen,1028,985241,2024-02-16
7,Liquid | Hungrybox,8916,985241,2024-02-16
7,Wizzrobe,1719,985241,2024-02-16
9,SDJ,26405,985241,2024-02-16
9,C9 | Mang0,11097,985241,2024-02-16
9,CG | Medz,31364,985241,2024-02-16
9,Tempo | Axe,10806,985241,2024-02-16
13,Nouns | Aklo,182985,985241,2024-02-16
13,S2J,8968,985241,2024-02-16
13,Joshman,53361,985241,2024-02-16
13,KoDoRiN,17545,985241,2024-02-16
17,BLE | SluG,38172,985241,2024-02-16
17,Veggies | SFAT,483,985241,2024-02-16
17,Faust,20220,985241,2024-02-16
17,69% | Fiction,24347,985241,2024-02-16
17,SSP | 69% | Trif,14228,985241,2024-02-16
17,L7 | Ossify,182926,985241,2024-02-16
17,BLE | Logan,44941,985241,2024-02-16
17,Ranked Mode | Krudo,86490,985241,2024-02-16
25,UWRF | Ben,467537,985241,2024-02-16
25,Juicebox,2764,985241,2024-02-16
25,Ginger,244,985241,2024-02-16
25,NOOT SPIF | Salt,75333,985241,2024-02-16
25,Khalid,38699,985241,2024-02-16
25,Ranked Mode | Akir,33503,985241,2024-02-16
25,Mango's Friend | Lucky,8768,985241,2024-02-16
25,TC | Zanya,171588,985241,2024-02-16
33,Bbatts,382111,985241,2024-02-16
33,bobby big ballz,48446,985241,2024-02-16
33,Soonsay,222015,985241,2024-02-16
33,WKDA | Shroomed,287,985241,2024-02-16
33,MOF,439608,985241,2024-02-16
33,NOOT | Panda,18544,985241,2024-02-16
33,Drephen,3116,985241,2024-02-16
33,TLOC | NOOT | | SFOP,5223,985241,2024-02-16
33,L7 | KJH,137,985241,2024-02-16
33,GG | n0ne,664,985241,2024-02-16
33,woo | Magi,2878,985241,2024-02-16
33,Agency | Wally,18401,985241,2024-02-16
33,DE | Aura,34391,985241,2024-02-16
33,NOOT | 404Cray,46781,985241,2024-02-16
33,DrLobster,9691,985241,2024-02-16
33,eggdog | Spark,52,985241,2024-02-16
49,redpandamaster,16641,985241,2024-02-16
49,Darkatma,3397,985241,2024-02-16
49,Lowercase hero,162095,985241,2024-02-16
49,Goodie,739438,985241,2024-02-16
49,Sirmeris,39796,985241,2024-02-16
49,20GX | Gahtzu,10163,985241,2024-02-16
49,Ranked Mode | Abbe,1154795,985241,2024-02-16
49,TXH | Beezy,48710,985241,2024-02-16
49,Komodo,178798,985241,2024-02-16
49,CG | LFG | Eddy Mexico,22753,985241,2024-02-16
49,Snap,74,985241,2024-02-16
49,DJM | Chem,476646,985241,2024-02-16
49,Melee Stats | | KoopaTroopa895,602,985241,2024-02-16
49,Umarth,9932,985241,2024-02-16
49,Squid,1219,985241,2024-02-16
49,Eggdog | frog | Zamu,15053,985241,2024-02-16
65,LFTG | SGN | Logos,11004,985241,2024-02-16
65,Aerius,92613,985241,2024-02-16
65,GUG | Dogshit Player,28505,985241,2024-02-16
65,ABG | Zeo,789,985241,2024-02-16
65,E-tie,146022,985241,2024-02-16
65,Daniel,1454349,985241,2024-02-16
65,Azel,50268,985241,2024-02-16
65,JSalt,3485,985241,2024-02-16
65,Eggdog | max,1640387,985241,2024-02-16
65,GGC | Gooms,11170,985241,2024-02-16
65,69% | Nickemwit,49,985241,2024-02-16
65,Mango's Friend | null,8572,985241,2024-02-16
65,Rocky,773,985241,2024-02-16
65,Galint | Shunsuke,492937,985241,2024-02-16
65,Voo,7050,985241,2024-02-16
65,LG | Louis,34943,985241,2024-02-16
65,Preeminent,216765,985241,2024-02-16
65,RIOT | Ryze,194471,985241,2024-02-16
65,Grab,155892,985241,2024-02-16
65,Guava,16887,985241,2024-02-16
65,StockControllr | Skerzo,135239,985241,2024-02-16
65,teccskill | nut,8289,985241,2024-02-16
65,ICEBOX | Kacey,77088,985241,2024-02-16
65,Level1 | FatGoku,1023,985241,2024-02-16
65,Eggdog | Chango,26481,985241,2024-02-16
65,CPU0,275369,985241,2024-02-16
65,BLE | Mot$,172392,985241,2024-02-16
65,Zasa,42444,985241,2024-02-16
65,BOIKO | Stango,8564,985241,2024-02-16
65,Dawson,86809,985241,2024-02-16
65,Asashi,36898,985241,2024-02-16
65,MOJOE,9071,985241,2024-02-16
97,NMFC,662741,985241,2024-02-16
97,Glasper,96005,985241,2024-02-16
97,Blues Clues,47452,985241,2024-02-16
97,htwa,6573,985241,2024-02-16
97,MAJOR | SubTails,76147,985241,2024-02-16
97,X-Rey,27423,985241,2024-02-16
97,Certified,559985,985241,2024-02-16
97,bonfire10,409,985241,2024-02-16
97,Stiv,630747,985241,2024-02-16
97,Syched,296684,985241,2024-02-16
97,i4,1440596,985241,2024-02-16
