placement,entrant_name,user_id,event_id,event_date
1,Zain,2616,948372,2024-05-18
2,FLY | Jmook,10563,948372,2024-05-18
3,Soonsay,222015,948372,2024-05-18
4,C9 | Mang0,11097,948372,2024-05-18
5,Liquid | Hungrybox,8916,948372,2024-05-18
5,moist | moky,1672,948372,2024-05-18
7,Nouns | Aklo,182985,948372,2024-05-18
7,SDJ,26405,948372,2024-05-18
9,Wizzrobe,1719,948372,2024-05-18
9,SSP | 69% | Trif,14228,948372,2024-05-18
9,Morsecode762,388,948372,2024-05-18
9,DTL | 2Saint,12269,948372,2024-05-18
13,Nouns | Cody Schwab,11403,948372,2024-05-18
13,ckyulmiqnudaetr,665692,948372,2024-05-18
13,TheRealThing,4283,948372,2024-05-18
13,Mango's Friend | null,8572,948372,2024-05-18
17,Red Bull IFM | aMSa,22302,948372,2024-05-18
17,Spark,52,948372,2024-05-18
17,KoDoRiN,17545,948372,2024-05-18
17,Ossify,182926,948372,2024-05-18
17,kins0,452025,948372,2024-05-18
17,Melee Stats | Pipsqueak,167723,948372,2024-05-18
17,MF | KJH,137,948372,2024-05-18
17,Lunar Dusk,29520,948372,2024-05-18
25,BING,35700,948372,2024-05-18
25,TDB | Negat!ve,188199,948372,2024-05-18
25,Tempo | Axe,10806,948372,2024-05-18
25,Dawson,86809,948372,2024-05-18
25,Faust,20220,948372,2024-05-18
25,Ben,467537,948372,2024-05-18
25,Agency | Wally,18401,948372,2024-05-18
25,GG | n0ne,664,948372,2024-05-18
33,irfan,18348,948372,2024-05-18
33,Maelstrom,223528,948372,2024-05-18
33,LAVITZ-01,4384,948372,2024-05-18
33,MOJOE,9071,948372,2024-05-18
33,Mot$,172392,948372,2024-05-18
33,Mango's Friend | Lucky,8768,948372,2024-05-18
33,Preeminent,216765,948372,2024-05-18
33,Zuppy,4199,948372,2024-05-18
33,LG | Louis,34943,948372,2024-05-18
33,DJM | Chem,476646,948372,2024-05-18
33,PitaLite | Khalid,38699,948372,2024-05-18
33,CG | Goosekhan,361713,948372,2024-05-18
33,Lowercase hero,162095,948372,2024-05-18
33,MOTW | Bbatts,382111,948372,2024-05-18
33,CG | Inky,90114,948372,2024-05-18
33,RSN | Frenzy,5872,948372,2024-05-18
49,VV | mgmg,31971,948372,2024-05-18
49,Snap,74,948372,2024-05-18
49,Eggdog | Chango,26481,948372,2024-05-18
49,Enderdxg,95239,948372,2024-05-18
49,prof,39048,948372,2024-05-18
49,ABG | salami,194471,948372,2024-05-18
49,erm that happened!,35884,948372,2024-05-18
49,BUS | Juicebox,2764,948372,2024-05-18
49,bonfire10,409,948372,2024-05-18
49,Strikeyguy,36826,948372,2024-05-18
49,max,1640387,948372,2024-05-18
49,NMFC,662741,948372,2024-05-18
49,Liquid,2297,948372,2024-05-18
49,TeamFishTaco | MOF,439608,948372,2024-05-18
49,Matteo,2381,948372,2024-05-18
49,egg,140144,948372,2024-05-18
65,Younger,339,948372,2024-05-18
65,Anzeray,787417,948372,2024-05-18
65,Elliot,3823,948372,2024-05-18
65,OSRS | Travioli,134390,948372,2024-05-18
65,Ober,21256,948372,2024-05-18
65,codeman,8486,948372,2024-05-18
65,ASS | Stiv,630747,948372,2024-05-18
65,DJM | Jude,98230,948372,2024-05-18
65,lexor,138306,948372,2024-05-18
65,Frostbyte,706893,948372,2024-05-18
65,SSBMTL | Kyle,429,948372,2024-05-18
65,I'm Michael BTW,405514,948372,2024-05-18
65,true | Life,216,948372,2024-05-18
65,Egg$,187124,948372,2024-05-18
65,Zeeker,136488,948372,2024-05-18
65,ABG | Zeo,789,948372,2024-05-18
65,SC | LilFrogurt,76689,948372,2024-05-18
65,NSFrog,91752,948372,2024-05-18
65,Mono,94352,948372,2024-05-18
65,Blessé,1199988,948372,2024-05-18
65,netplayge | rainy,16666,948372,2024-05-18
65,KW | Ampp,386596,948372,2024-05-18
65,Snoosnoo,1430,948372,2024-05-18
65,TAP | bambi,4394,948372,2024-05-18
65,Jah Ridin',1903,948372,2024-05-18
65,ayeGiohh,368003,948372,2024-05-18
65,essy,43877,948372,2024-05-18
65,Tranimal,653,948372,2024-05-18
65,UMF | Poonslayer7,11784,948372,2024-05-18
65,Crumbling,246834,948372,2024-05-18
65,Archaene,40367,948372,2024-05-18
65,LG | Brad,734387,948372,2024-05-18
97,SC | Solanum,358876,948372,2024-05-18
97,Anchor,363853,948372,2024-05-18
97,O.J. Gimpson,92921,948372,2024-05-18
97,Rikzz,80454,948372,2024-05-18
97,Porkers,433867,948372,2024-05-18
97,NSE | Maher,39160,948372,2024-05-18
97,Question,18578,948372,2024-05-18
97,Vicci,406403,948372,2024-05-18
97,Seb,29933,948372,2024-05-18
97,OG Kid,1492275,948372,2024-05-18
97,PL 69% VV | Zaza,75283,948372,2024-05-18
97,Andu | Wave,2375887,948372,2024-05-18
97,Rick,3038,948372,2024-05-18
97,fiveman1,195731,948372,2024-05-18
97,Adwan,39992,948372,2024-05-18
97,Higgins,10861,948372,2024-05-18
97,Beezy,48710,948372,2024-05-18
97,Bonjwa,34543,948372,2024-05-18
97,GG,28360,948372,2024-05-18
97,Nix,37652,948372,2024-05-18
97,nunavut kaiju,49671,948372,2024-05-18
97,*89ERS | the Star.,10905,948372,2024-05-18
97,BLE | 2shan,90061,948372,2024-05-18
97,Presidential | wait a minuteihate golf!,49484,948372,2024-05-18
97,GIS | cliché,591308,948372,2024-05-18
97,Abel,9891,948372,2024-05-18
97,Floppy,21888,948372,2024-05-18
97,yingling,6948,948372,2024-05-18
97,fys | Blaze,2976,948372,2024-05-18
97,P4K EMP | R0M,2019182,948372,2024-05-18
97,Bot Matt,39731,948372,2024-05-18
97,Nen,484930,948372,2024-05-18
129,Bill Bone,804879,948372,2024-05-18
129,Penn,16054,948372,2024-05-18
129,lilmark0,642379,948372,2024-05-18
129,BINGHI,303498,948372,2024-05-18
129,Zam,309660,948372,2024-05-18
129,Kishoto,521226,948372,2024-05-18
129,OGAGO | Peter Griffin Quiggles,2134,948372,2024-05-18
129,Clay,17751,948372,2024-05-18
129,Bigfish,91479,948372,2024-05-18
129,MonkHB,342267,948372,2024-05-18
129,Maxo,1400,948372,2024-05-18
129,Coastward,3094,948372,2024-05-18
129,vash,39106,948372,2024-05-18
129,Manticore,347869,948372,2024-05-18
129,Medley,1444471,948372,2024-05-18
129,Kandayo,13766,948372,2024-05-18
129,Kip,77442,948372,2024-05-18
129,HugeRodTod,164157,948372,2024-05-18
129,Omegam,141061,948372,2024-05-18
129,OtES,33249,948372,2024-05-18
129,BLE | Jeandolla,98178,948372,2024-05-18
129,BlusterKTK,1905846,948372,2024-05-18
129,BTS | epengu,461,948372,2024-05-18
129,MOOSE,46782,948372,2024-05-18
129,Woozy,1184239,948372,2024-05-18
129,InfernoJesus,1569,948372,2024-05-18
129,Miranda,48321,948372,2024-05-18
129,heeg | meep,19539,948372,2024-05-18
129,Rat Rattington,1437,948372,2024-05-18
129,Jacob <3,1367324,948372,2024-05-18
129,L7 | plush,135146,948372,2024-05-18
129,technospider,97130,948372,2024-05-18
129,EMG | Dope,2521,948372,2024-05-18
129,Jib,13441,948372,2024-05-18
129,Mr. Snuss,650061,948372,2024-05-18
129,ABG | Tonkatsu,1871,948372,2024-05-18
129,Shaidyn,41745,948372,2024-05-18
129,joemb | Bojack,2942,948372,2024-05-18
129,RileyReads,18354,948372,2024-05-18
129,Sevan,8635,948372,2024-05-18
129,G Pipes,16583,948372,2024-05-18
129,VWBG | alright,47670,948372,2024-05-18
129,Blooky,596905,948372,2024-05-18
129,RanD,439290,948372,2024-05-18
129,PSI $wagnet,145,948372,2024-05-18
129,CNH | PGH Fahey,563994,948372,2024-05-18
129,Ayne,585012,948372,2024-05-18
129,Koobie,3142,948372,2024-05-18
129,Suidt,1082,948372,2024-05-18
129,kneemaster12 | kneemaster12,945758,948372,2024-05-18
129,Jesse James,897922,948372,2024-05-18
129,Fugu,651293,948372,2024-05-18
129,OkamiBW,30225,948372,2024-05-18
129,LilMitts,684364,948372,2024-05-18
129,Viridian,806792,948372,2024-05-18
129,Smeef,439263,948372,2024-05-18
129,(aka Bio) | Carbs,264800,948372,2024-05-18
129,MSI | Symbol,76937,948372,2024-05-18
129,MudJam,1019621,948372,2024-05-18
129,ZrAcid,90405,948372,2024-05-18
129,Milkshake,330006,948372,2024-05-18
129,SHDJ | Joe(y) Bats,2368,948372,2024-05-18
129,Crispy King,2305,948372,2024-05-18
129,kirin,16497,948372,2024-05-18
193,Spicy,20731,948372,2024-05-18
193,Muxedo,49875,948372,2024-05-18
193,KEFFO,94409,948372,2024-05-18
193,Yung John,7298,948372,2024-05-18
193,burn,34048,948372,2024-05-18
193,ACSL,39201,948372,2024-05-18
193,Blow,13634,948372,2024-05-18
193,Ant,7545,948372,2024-05-18
193,Drolian,2331,948372,2024-05-18
193,INSIM | stylo!! :33,1081326,948372,2024-05-18
193,Jolf,21668,948372,2024-05-18
193,Yaku,1249025,948372,2024-05-18
193,Prism | Pinky,91278,948372,2024-05-18
193,Weeg,46722,948372,2024-05-18
193,YG | Blaidan,1632073,948372,2024-05-18
193,Retired | JoeySweatpants,20059,948372,2024-05-18
193,BLE | Gomi,561650,948372,2024-05-18
193,Dright,25387,948372,2024-05-18
193,BSB | matricies,1455027,948372,2024-05-18
193,a horse who can drive,44473,948372,2024-05-18
193,Prince,47532,948372,2024-05-18
193,EuO,30901,948372,2024-05-18
193,Jasper,4188,948372,2024-05-18
193,fLc | Jank,9288,948372,2024-05-18
193,WRAP,112135,948372,2024-05-18
193,NE | ZeeBee,147044,948372,2024-05-18
193,Captain,108975,948372,2024-05-18
193,colm,87781,948372,2024-05-18
193,Sentrix,264841,948372,2024-05-18
193,CTM | Ryzon,51436,948372,2024-05-18
193,Coriamon,87779,948372,2024-05-18
193,UMF | stujin,11080,948372,2024-05-18
193,Eastea,44259,948372,2024-05-18
193,Snivy102,1708517,948372,2024-05-18
193,Erg,297967,948372,2024-05-18
193,luma,93127,948372,2024-05-18
193,Kadence,507353,948372,2024-05-18
193,BERG | bosshog,709860,948372,2024-05-18
193,AyeVee,17322,948372,2024-05-18
193,Crimson,1352,948372,2024-05-18
193,FERN | Jboss,350931,948372,2024-05-18
193,Toffee,132618,948372,2024-05-18
193,Trevor,6426,948372,2024-05-18
193,Cowbell,9727,948372,2024-05-18
193,GROM,92684,948372,2024-05-18
193,dream π,455723,948372,2024-05-18
193,Sweat,618047,948372,2024-05-18
193,webs,3347,948372,2024-05-18
193,Skitter,8861,948372,2024-05-18
193,Emps,400858,948372,2024-05-18
193,Real Dingoes,10437,948372,2024-05-18
193,RadioNights,1832417,948372,2024-05-18
193,716 | magnumgunn3r,408252,948372,2024-05-18
193,kPa,410724,948372,2024-05-18
193,Shorts,817235,948372,2024-05-18
193,Fern,2389,948372,2024-05-18
193,PEAK | MOS | ABSO,41754,948372,2024-05-18
193,Savage,5556,948372,2024-05-18
193,Breloom,177290,948372,2024-05-18
193,Banana$,38293,948372,2024-05-18
193,AlexB,1143144,948372,2024-05-18
193,Sawrik,2234,948372,2024-05-18
193,DG | Poseidon,94397,948372,2024-05-18
193,Ctec,1245670,948372,2024-05-18
257,soap,1604011,948372,2024-05-18
257,RN | Don,13607,948372,2024-05-18
257,CHASE | Vei,212930,948372,2024-05-18
257,Graapefruit,1965208,948372,2024-05-18
257,PRZ | Dark Triad,1670335,948372,2024-05-18
257,UW PHYS HOMIES | Tropix,3373,948372,2024-05-18
257,Rio | LittleCoaks,214242,948372,2024-05-18
257,SRG | Cruelty,248136,948372,2024-05-18
257,May-chan,586560,948372,2024-05-18
257,Coffee,229236,948372,2024-05-18
257,kneemaster12,399877,948372,2024-05-18
257,plumface,1834682,948372,2024-05-18
257,P9V | Revilo2112,445698,948372,2024-05-18
257,FREE | John Bowser,2269500,948372,2024-05-18
257,Dunbar,2078066,948372,2024-05-18
257,Aravatar,34690,948372,2024-05-18
257,SeniorFluffie,1382582,948372,2024-05-18
257,bbeanLI,47285,948372,2024-05-18
257,Korvus,74342,948372,2024-05-18
257,L3on,134430,948372,2024-05-18
257,Phoenix | Shais Young,35364,948372,2024-05-18
257,1Tab,176035,948372,2024-05-18
257,kneemaster12 | kneemaster12,1538122,948372,2024-05-18
257,SRG | Triple C,762708,948372,2024-05-18
257,SRG | JetFall,53285,948372,2024-05-18
257,SDG | Chiromite,1485618,948372,2024-05-18
257,Uncle Bunga,38408,948372,2024-05-18
257,ethi0pium,1755932,948372,2024-05-18
257,gpie,17193,948372,2024-05-18
257,L1am,1684385,948372,2024-05-18
257,beta,675081,948372,2024-05-18
257,Daytime,2571842,948372,2024-05-18
257,Ampps Agent | Mickey,613538,948372,2024-05-18
257,helm,14536,948372,2024-05-18
257,9Moons | MentoSenti,371784,948372,2024-05-18
257,Pizzle,2156630,948372,2024-05-18
257,KELLZ,5135,948372,2024-05-18
257,thomas,21753,948372,2024-05-18
257,Moldy,1209053,948372,2024-05-18
257,Pang,562914,948372,2024-05-18
257,Nuts.com | AbsZero,107625,948372,2024-05-18
257,RSQ,188228,948372,2024-05-18
257,jakemsnakem,501587,948372,2024-05-18
257,PEAK | Wigwam,233348,948372,2024-05-18
257,607 | birdie,47430,948372,2024-05-18
257,PSU | lumor,1481029,948372,2024-05-18
257,RocketFN7,137405,948372,2024-05-18
257,Tamaふゆ,15760,948372,2024-05-18
257,Sirenn,1319362,948372,2024-05-18
257,Green,38961,948372,2024-05-18
257,Sol | Saturn,1485152,948372,2024-05-18
257,JUICY | WTF,16585,948372,2024-05-18
257,PTP,1247558,948372,2024-05-18
257,716 | Plum,1512815,948372,2024-05-18
257,Phorky,39830,948372,2024-05-18
257,breezy,380975,948372,2024-05-18
257,Sashimi,1155942,948372,2024-05-18
257,B9,171397,948372,2024-05-18
257,Goose,18708,948372,2024-05-18
257,carrotslat,283291,948372,2024-05-18
257,NICK | PRIONBOIL,1908869,948372,2024-05-18
257,Ant,915328,948372,2024-05-18
257,MOOP,39824,948372,2024-05-18
257,xriver,941289,948372,2024-05-18
257,Koil,76680,948372,2024-05-18
257,Homie,49080,948372,2024-05-18
257,TiChrys,286490,948372,2024-05-18
257,Lime,727886,948372,2024-05-18
257,Snowflame,179000,948372,2024-05-18
257,UW | Zoistie,473305,948372,2024-05-18
257,crash,37082,948372,2024-05-18
257,mac jones,1374403,948372,2024-05-18
257,Tsunami,49186,948372,2024-05-18
257,YT/NSFrog | Zuber,1000788,948372,2024-05-18
257,Mia,2311208,948372,2024-05-18
257,Fr0mage,87926,948372,2024-05-18
257,Conceit,41139,948372,2024-05-18
257,Pelf,353393,948372,2024-05-18
257,GF | Griffin,1864902,948372,2024-05-18
257,ACN | Flare,2315,948372,2024-05-18
257,Farooqui,1845116,948372,2024-05-18
257,Bojack | Hierotheos,1866601,948372,2024-05-18
257,Rangi,1863486,948372,2024-05-18
257,Fire Sheep,1985899,948372,2024-05-18
257,Liro,647755,948372,2024-05-18
257,SwebBy,2013998,948372,2024-05-18
257,VV | Sickrobot,963390,948372,2024-05-18
257,DJ Rice,753638,948372,2024-05-18
257,Skobocop,2586490,948372,2024-05-18
257,FNB | Luka,1180787,948372,2024-05-18
257,Mosh,1191,948372,2024-05-18
257,DM | DRNT,404876,948372,2024-05-18
257,Ethan,17218,948372,2024-05-18
257,Slope,745593,948372,2024-05-18
257,DI MF | Texas Chaingrab Massacre,8827,948372,2024-05-18
257,OliPîpe,1728616,948372,2024-05-18
257,FitzC,133647,948372,2024-05-18
257,Fade,368244,948372,2024-05-18
257,Dad | Lcaribou25,1720013,948372,2024-05-18
257,Skeleking,135280,948372,2024-05-18
257,Colin North,2448,948372,2024-05-18
