placement,entrant_name,user_id,event_id,event_date
1,Zain,2669494,1228103,2024-12-08
1,moist | moky,1672,1228103,2024-12-08
3,FLY | Jmook,2636297,1228103,2024-12-08
3,MxM | Joshman,53361,1228103,2024-12-08
5,Nouns | Aklo,182985,1228103,2024-12-08
5,Nouns | Cody Schwab,11403,1228103,2024-12-08
7,Soonsay,222015,1228103,2024-12-08
7,Lil | Plup,10439,1228103,2024-12-08
9,TeamFishTaco | MOF,439608,1228103,2024-12-08
9,Salt,75333,1228103,2024-12-08
11,RVL | BING,35700,1228103,2024-12-08
11,Lil | Junebug,2150,1228103,2024-12-08
13,RVL | Agent,16679,1228103,2024-12-08
13,Oasis | Bekvin,110642,1228103,2024-12-08
15,Red Bull IFM | aMSa,22302,1228103,2024-12-08
15,C9 | Mang0,11097,1228103,2024-12-08
