placement,entrant_name,user_id,event_id,event_date
1,Zain,2616,1038365,2024-04-27
2,C9 | Mang0,11097,1038365,2024-04-27
3,Nouns | Cody Schwab,11403,1038365,2024-04-27
4,Spark,52,1038365,2024-04-27
5,moist | moky,1672,1038365,2024-04-27
5,Soonsay,222015,1038365,2024-04-27
7,FLY | Jmook,10563,1038365,2024-04-27
7,Medz,31364,1038365,2024-04-27
9,KoDoRiN,17545,1038365,2024-04-27
9,Tempo | Axe,10806,1038365,2024-04-27
9,bc | S2J,8968,1038365,2024-04-27
9,Lucky,8768,1038365,2024-04-27
13,69% | Fiction,24347,1038365,2024-04-27
13,69% | mvlvchi,2149992,1038365,2024-04-27
13,NOOT | 404Cray,46781,1038365,2024-04-27
13,CF | CPU0,275369,1038365,2024-04-27
17,GIS | Vavez,5139,1038365,2024-04-27
17,Pbag | Graves,1079250,1038365,2024-04-27
17,Joshman,53361,1038365,2024-04-27
17,BONG | Far!,75096,1038365,2024-04-27
17,Asashi,36898,1038365,2024-04-27
17,teccskill | nut,8289,1038365,2024-04-27
17,GIS | cliché,591308,1038365,2024-04-27
17,Palpa,450029,1038365,2024-04-27
25,Ringler,39872,1038365,2024-04-27
25,Snap,74,1038365,2024-04-27
25,Iron,571051,1038365,2024-04-27
25,CG | LFG | Eddy Mexico,22753,1038365,2024-04-27
25,GUG | Dogshit Player,28505,1038365,2024-04-27
25,Melee Stats | | KoopaTroopa895,602,1038365,2024-04-27
25,Unsure,39605,1038365,2024-04-27
25,Cubs,49282,1038365,2024-04-27
33,Steech,488912,1038365,2024-04-27
33,Floppy,21888,1038365,2024-04-27
33,MOJOE,9071,1038365,2024-04-27
33,redpandamaster,16641,1038365,2024-04-27
33,Franz,90963,1038365,2024-04-27
33,Dawson,86809,1038365,2024-04-27
33,Zeo,789,1038365,2024-04-27
33,ABG | salami,194471,1038365,2024-04-27
33,yingling,6948,1038365,2024-04-27
33,netplayge | rainy,16666,1038365,2024-04-27
33,Stone,40711,1038365,2024-04-27
33,Zamorita,818437,1038365,2024-04-27
33,Maximus,18142,1038365,2024-04-27
33,true | Life,216,1038365,2024-04-27
33,OkamiBW,30225,1038365,2024-04-27
33,netplayge | Tash,812515,1038365,2024-04-27
49,GGC | Gooms,11170,1038365,2024-04-27
49,rom,490,1038365,2024-04-27
49,bag,175433,1038365,2024-04-27
49,Darkatma,3397,1038365,2024-04-27
49,Alberto,1635556,1038365,2024-04-27
49,AgeofWar10HrsGOC,185876,1038365,2024-04-27
49,PEPIS | Noire,52346,1038365,2024-04-27
49,skyguy | Dusk,51425,1038365,2024-04-27
49,Casper,83358,1038365,2024-04-27
49,Typhoon,136608,1038365,2024-04-27
49,OBE | snake,485693,1038365,2024-04-27
49,jvac | Omar,176493,1038365,2024-04-27
49,ycz6,8978,1038365,2024-04-27
49,Dr. | deez,9996,1038365,2024-04-27
49,y-hat,43337,1038365,2024-04-27
49,Tino,5126,1038365,2024-04-27
65,FD | Nigo,8544,1038365,2024-04-27
65,homedawg,8515,1038365,2024-04-27
65,GS | SubTails,76147,1038365,2024-04-27
65,To Gimp A Butterfly,6239,1038365,2024-04-27
65,SuperCuak,45580,1038365,2024-04-27
65,RJN | Wero,23941,1038365,2024-04-27
65,69% | Nickemwit,49,1038365,2024-04-27
65,Sufy,29645,1038365,2024-04-27
65,Darksilence,298,1038365,2024-04-27
65,netplayge | SpacePigeon,15164,1038365,2024-04-27
65,Breakfast,8604,1038365,2024-04-27
65,Khalid,38699,1038365,2024-04-27
65,Pbag,929610,1038365,2024-04-27
65,Brand0,711792,1038365,2024-04-27
65,Baja,8570,1038365,2024-04-27
65,niimo,651736,1038365,2024-04-27
65,NathanSandwich,721,1038365,2024-04-27
65,TJGE | Megaman,597,1038365,2024-04-27
65,maxi,219921,1038365,2024-04-27
65,s-f,994923,1038365,2024-04-27
65,AC | I <3 Turkish Women,151231,1038365,2024-04-27
65,LGC | DonB,29776,1038365,2024-04-27
65,FD | Foo,8910,1038365,2024-04-27
65,The Charles Guy,22850,1038365,2024-04-27
65,MegaXmas,783,1038365,2024-04-27
65,Tonkatsu,1871,1038365,2024-04-27
65,MAJOR | ge | sumi,1414609,1038365,2024-04-27
65,Frame1 | Greg Turbo,90076,1038365,2024-04-27
65,cinderssbm,363873,1038365,2024-04-27
65,Violence,11051,1038365,2024-04-27
65,Vorpal,25762,1038365,2024-04-27
65,Swiz,53704,1038365,2024-04-27
97,Nimble,183839,1038365,2024-04-27
97,Anto,13227,1038365,2024-04-27
97,Childishforever,30718,1038365,2024-04-27
97,TreyTheTrashman,86312,1038365,2024-04-27
97,MAJOR | Tiger Millionaire,9045,1038365,2024-04-27
97,Nouns | OTTO,178981,1038365,2024-04-27
97,RedX,29695,1038365,2024-04-27
97,Juma,473075,1038365,2024-04-27
97,Melee Stats | Ambisinister,1523,1038365,2024-04-27
97,TEDGaming | Ashkon,42,1038365,2024-04-27
97,PEPIS | Videowaffles,603,1038365,2024-04-27
97,Waddles,1669712,1038365,2024-04-27
97,Grizzly,91663,1038365,2024-04-27
97,cspan,731280,1038365,2024-04-27
97,guru,153974,1038365,2024-04-27
97,SquidTheCat,173955,1038365,2024-04-27
97,CrazyDude,8452,1038365,2024-04-27
97,Archi,102536,1038365,2024-04-27
97,kks,1499848,1038365,2024-04-27
97,Real Dingoes,10437,1038365,2024-04-27
97,Rebel Scum,179637,1038365,2024-04-27
97,wero | liang fanboy,6822,1038365,2024-04-27
97,$MP | dom,248953,1038365,2024-04-27
97,Top10 | Jeeemt,29717,1038365,2024-04-27
97,verbose,1606283,1038365,2024-04-27
97,Adam001,638043,1038365,2024-04-27
97,Goose,18708,1038365,2024-04-27
97,Jaden,45357,1038365,2024-04-27
97,QueueSS,41071,1038365,2024-04-27
97,SwaySD,14044,1038365,2024-04-27
97,Smashingumball,1592326,1038365,2024-04-27
97,LG | Rawk,14524,1038365,2024-04-27
129,Tamez,2565086,1038365,2024-04-27
129,Yoshicord | w00j__,369399,1038365,2024-04-27
129,skivvy,582975,1038365,2024-04-27
129,bagel,966759,1038365,2024-04-27
129,Jolf,21668,1038365,2024-04-27
129,timesink,8948,1038365,2024-04-27
129,Eloy,8208,1038365,2024-04-27
129,Punk,5036,1038365,2024-04-27
129,Chris++,38619,1038365,2024-04-27
129,GOATcheese,212362,1038365,2024-04-27
129,SoBay | $max,14871,1038365,2024-04-27
129,Welcomehouse,1741872,1038365,2024-04-27
129,winismine,600165,1038365,2024-04-27
129,Struggler,1628697,1038365,2024-04-27
129,nagatani,75476,1038365,2024-04-27
129,OBE | P0ke,141675,1038365,2024-04-27
