placement,entrant_name,user_id,event_id,event_date
1,Zain,2616,1068593,2024-09-07
2,Nouns | Cody Schwab,11403,1068593,2024-09-07
3,Nouns | Aklo,182985,1068593,2024-09-07
4,Liquid | Hungrybox,8916,1068593,2024-09-07
5,Lil | Plup,10439,1068593,2024-09-07
5,Spark,52,1068593,2024-09-07
7,SDJ,26405,1068593,2024-09-07
7,Agency | Wally,18401,1068593,2024-09-07
9,SSP | 69% | Trif,14228,1068593,2024-09-07
9,Milk | Morsecode762,388,1068593,2024-09-07
9,Polish,50878,1068593,2024-09-07
9,ckyulmiqnudaetr,665692,1068593,2024-09-07
13,LG | Wizzrobe,1719,1068593,2024-09-07
13,Joshman,53361,1068593,2024-09-07
13,Medz,31364,1068593,2024-09-07
13,bonfire10,409,1068593,2024-09-07
17,true | Holiday,3952,1068593,2024-09-07
17,Fudge,490091,1068593,2024-09-07
17,Jmook,10563,1068593,2024-09-07
17,LG | Soonsay,222015,1068593,2024-09-07
17,Khryke,181156,1068593,2024-09-07
17,BTE | n0ne,664,1068593,2024-09-07
17,Skerzo,135239,1068593,2024-09-07
17,TeamFishTaco | MOF,439608,1068593,2024-09-07
25,MCKY | Agent,16679,1068593,2024-09-07
25,Ossify,182926,1068593,2024-09-07
25,LG | Louis,34943,1068593,2024-09-07
25,TSI | coffee,548818,1068593,2024-09-07
25,OG Kid,1492275,1068593,2024-09-07
25,Faust,20220,1068593,2024-09-07
25,JSalt,3485,1068593,2024-09-07
25,Slowking,16931,1068593,2024-09-07
33,BorgTech | HOBORG,95135,1068593,2024-09-07
33,Dao,40238,1068593,2024-09-07
33,TCS | Hunybear,331211,1068593,2024-09-07
33,Zaz #1/FRG | POG Epic Gamer,171191,1068593,2024-09-07
33,DarkHero,10436,1068593,2024-09-07
33,Jiffy | Yamasaki,104818,1068593,2024-09-07
33,Trail,3394,1068593,2024-09-07
33,ZSB | Drephen,3116,1068593,2024-09-07
33,Paladin,37860,1068593,2024-09-07
33,UWRF | Ben,467537,1068593,2024-09-07
33,Sirmeris,39796,1068593,2024-09-07
33,RC | Zuppy,4199,1068593,2024-09-07
33,UGS | Michael,17393,1068593,2024-09-07
33,Free Palestine,41344,1068593,2024-09-07
33,Preeminent,216765,1068593,2024-09-07
33,L7's | Bbatts,382111,1068593,2024-09-07
49,NSE | Maher,39160,1068593,2024-09-07
49,Oasis | Bekvin,110642,1068593,2024-09-07
49,Artan,43857,1068593,2024-09-07
49,Justus,181505,1068593,2024-09-07
49,Ober,21256,1068593,2024-09-07
49,Zoist|VV | mgmg,31971,1068593,2024-09-07
49,Goodie,739438,1068593,2024-09-07
49,max,1640387,1068593,2024-09-07
49,Boyd,91492,1068593,2024-09-07
49,LuigigoShard,2766295,1068593,2024-09-07
49,ABG | salami,194471,1068593,2024-09-07
49,Dawson,86809,1068593,2024-09-07
49,Blue,429020,1068593,2024-09-07
49,InfernoJesus,1569,1068593,2024-09-07
49,jvac | BushyMushy,977688,1068593,2024-09-07
49,Anchor,363853,1068593,2024-09-07
65,L7 | Freezus,16650,1068593,2024-09-07
65,erik...,35884,1068593,2024-09-07
65,CG | DannyPhantom,351384,1068593,2024-09-07
65,natebug01,50203,1068593,2024-09-07
65,ODSY | HPR,39925,1068593,2024-09-07
65,dz,5097,1068593,2024-09-07
65,3HUNA,4714,1068593,2024-09-07
65,Tempo | Axe,10806,1068593,2024-09-07
65,netplayge | :3,15164,1068593,2024-09-07
65,Sweepers | Lord English,2064988,1068593,2024-09-07
65,Reeve,3355,1068593,2024-09-07
65,Simmons,362433,1068593,2024-09-07
65,CSC | ORLY,3737,1068593,2024-09-07
65,Suidt,1082,1068593,2024-09-07
65,Axis,45520,1068593,2024-09-07
65,GIS | cliché,591308,1068593,2024-09-07
65,CG | Inky,90114,1068593,2024-09-07
65,Ferocitii,32189,1068593,2024-09-07
65,Peanutphobia,1648,1068593,2024-09-07
65,Syched,296684,1068593,2024-09-07
65,Ultra | M1sf1re,1538122,1068593,2024-09-07
65,VDL | Just,653058,1068593,2024-09-07
65,grape ape,49484,1068593,2024-09-07
65,WG | true | Balloon Day,298629,1068593,2024-09-07
65,Adwan,39992,1068593,2024-09-07
65,ZSB | Iceking,1541187,1068593,2024-09-07
65,Lowercase hero,162095,1068593,2024-09-07
65,TBK | Jada,11017,1068593,2024-09-07
65,StocGaming|MP | Bank,175701,1068593,2024-09-07
65,Tarik,1663218,1068593,2024-09-07
65,OGAGO | Mike Spider Pig Quiggles,2134,1068593,2024-09-07
65,cbb,391092,1068593,2024-09-07
97,Majersk,47620,1068593,2024-09-07
97,Grab2Win,42505,1068593,2024-09-07
97,UWRF | Lamonster,297776,1068593,2024-09-07
97,Bagels,158611,1068593,2024-09-07
97,MN | lexor,138306,1068593,2024-09-07
97,LG | fitzy,1497261,1068593,2024-09-07
97,WNSS | Acid,282411,1068593,2024-09-07
97,Seal,16488,1068593,2024-09-07
97,Latin,781493,1068593,2024-09-07
97,SIG | TheAsianOne,28714,1068593,2024-09-07
97,from twitter | rainy,16666,1068593,2024-09-07
97,Silk | Den,4518,1068593,2024-09-07
97,Blessé,1199988,1068593,2024-09-07
97,Killablue,53800,1068593,2024-09-07
97,Cranky,998082,1068593,2024-09-07
97,Dimension,410247,1068593,2024-09-07
97,GLS | Dirtboy,859,1068593,2024-09-07
97,lumor,1481029,1068593,2024-09-07
97,FRG | Justin Joe,5294,1068593,2024-09-07
97,rotisseriedeluxe,156537,1068593,2024-09-07
97,mase,47581,1068593,2024-09-07
97,Mustache Massacre,293010,1068593,2024-09-07
97,Sloppy | Palika,38124,1068593,2024-09-07
97,Landon,14896,1068593,2024-09-07
97,a horse who can drive,44473,1068593,2024-09-07
97,CNH | PGH Fahey,563994,1068593,2024-09-07
97,CORN | BY15,6121,1068593,2024-09-07
97,CNH | PINE | lilmark0,642379,1068593,2024-09-07
97,RFDP | Kendrick,258433,1068593,2024-09-07
97,Wytch,134993,1068593,2024-09-07
97,patcake,3698,1068593,2024-09-07
97,zoist | Ampp,386596,1068593,2024-09-07
129,Will Pickles,11823,1068593,2024-09-07
129,Emps,400858,1068593,2024-09-07
129,NE | ZeeBee,147044,1068593,2024-09-07
129,DNIA | Future Shock,283826,1068593,2024-09-07
129,Blandeezy,3706,1068593,2024-09-07
129,Reesch,5116,1068593,2024-09-07
129,Maple,1553812,1068593,2024-09-07
129,xatudrip,1491030,1068593,2024-09-07
129,Borp,9029,1068593,2024-09-07
129,Bojack,2942,1068593,2024-09-07
129,TDB | Negat!ve,188199,1068593,2024-09-07
129,Drew,50490,1068593,2024-09-07
129,HOPE,1828052,1068593,2024-09-07
129,Joka,3263,1068593,2024-09-07
129,Yankee,7650,1068593,2024-09-07
129,Bobby Frizz,13524,1068593,2024-09-07
129,CG | Koobie,3142,1068593,2024-09-07
129,SIG | spoose,163660,1068593,2024-09-07
129,Sarlo,181240,1068593,2024-09-07
129,Scal,135595,1068593,2024-09-07
129,MN | Banger,335448,1068593,2024-09-07
129,7 | GDubs,45246,1068593,2024-09-07
129,Sp1nda,28595,1068593,2024-09-07
129,jakeywinks,869,1068593,2024-09-07
129,Mono,94352,1068593,2024-09-07
129,Rich,27774,1068593,2024-09-07
129,Enderdxg,95239,1068593,2024-09-07
129,william1,1547282,1068593,2024-09-07
129,Hank,28402,1068593,2024-09-07
129,Brazmonkey,44697,1068593,2024-09-07
129,Woozy,1184239,1068593,2024-09-07
129,JHTL,45149,1068593,2024-09-07
129,Baron,301453,1068593,2024-09-07
129,Timtempor,14805,1068593,2024-09-07
129,LGC | DonB,29776,1068593,2024-09-07
129,GRABBING BEAST | Paulo,7905,1068593,2024-09-07
129,Stranded,1824290,1068593,2024-09-07
129,Nen,484930,1068593,2024-09-07
129,Moist | Kola,11144,1068593,2024-09-07
129,Unoriginal,27973,1068593,2024-09-07
129,Dragoid,169823,1068593,2024-09-07
129,Forest,24671,1068593,2024-09-07
129,oh,9592,1068593,2024-09-07
129,whisper,1863021,1068593,2024-09-07
129,s-f,994923,1068593,2024-09-07
129,n0tch,135505,1068593,2024-09-07
129,Nickmang,460866,1068593,2024-09-07
129,Marcato,627993,1068593,2024-09-07
129,Level1 | jess dang3r,821107,1068593,2024-09-07
129,ILoveGageKyle | flatline,26164,1068593,2024-09-07
129,Kanye Midwest,13623,1068593,2024-09-07
129,FUZE | Trevor,3985,1068593,2024-09-07
129,TN | Moist,14202,1068593,2024-09-07
129,soph | FalcoYaoi,1419749,1068593,2024-09-07
129,Zam,309660,1068593,2024-09-07
129,Bodunga of the Pooplands,138063,1068593,2024-09-07
129,HFR | Jisp,48542,1068593,2024-09-07
129,rusty,24826,1068593,2024-09-07
129,SRG | Hatsune Mitski,1751,1068593,2024-09-07
