placement,entrant_name,user_id,event_id,event_date
1,Nicki,12872,1041602,2024-11-02
2,Solobattle,135686,1041602,2024-11-02
3,RSN | Frenzy,5872,1041602,2024-11-02
4,Jah Ridin',1903,1041602,2024-11-02
5,Fat Tino,452577,1041602,2024-11-02
5,i4,1440596,1041602,2024-11-02
7,kins0,452025,1041602,2024-11-02
7,Rikzz,80454,1041602,2024-11-02
9,Brock B. LLC | $TYN,1848,1041602,2024-11-02
9,Steff$,563552,1041602,2024-11-02
9,Squiltendorf,3103,1041602,2024-11-02
9,Feradit,12413,1041602,2024-11-02
13,irfan,18348,1041602,2024-11-02
13,astar,455911,1041602,2024-11-02
13,It's Ok If I Lose,19129,1041602,2024-11-02
13,Smarted,940290,1041602,2024-11-02
17,skullbro,359805,1041602,2024-11-02
17,Valhalla | Moe,13289,1041602,2024-11-02
17,DerFasan,233564,1041602,2024-11-02
17,Pbrg | Geldmann,1590724,1041602,2024-11-02
17,Wolf,638373,1041602,2024-11-02
17,jhabs,51549,1041602,2024-11-02
17,Fuzzyness,2595,1041602,2024-11-02
17,ShrekFanboy | IuDKing,9469,1041602,2024-11-02
25,Magik,388509,1041602,2024-11-02
25,Raptori,87192,1041602,2024-11-02
25,Parsecco,40913,1041602,2024-11-02
25,Pi,41184,1041602,2024-11-02
25,fys | Blaze,2976,1041602,2024-11-02
25,Happymealz,171301,1041602,2024-11-02
25,Yogurt,175653,1041602,2024-11-02
25,noon,41098,1041602,2024-11-02
33,Leander,812807,1041602,2024-11-02
33,Touffe,358945,1041602,2024-11-02
33,Gappy,913789,1041602,2024-11-02
33,Marles Barkley,802663,1041602,2024-11-02
33,Noxxa,184490,1041602,2024-11-02
33,Famelee - | Mr.Rit,1308889,1041602,2024-11-02
33,flippy_o,31630,1041602,2024-11-02
33,fys | phL,3064,1041602,2024-11-02
33,Fout NL,94897,1041602,2024-11-02
33,Nobody,32814,1041602,2024-11-02
33,diamon,1647547,1041602,2024-11-02
33,ILikeTurtles,216750,1041602,2024-11-02
33,chaos6,2053,1041602,2024-11-02
33,Jim Morrison,2272,1041602,2024-11-02
33,Casual Gamer | Kaese,2979,1041602,2024-11-02
33,BigM,48654,1041602,2024-11-02
49,Metarix,1410004,1041602,2024-11-02
49,Daddy Kong | kiw1,3020,1041602,2024-11-02
49,belfami mart,1856,1041602,2024-11-02
49,DestiKnee,92591,1041602,2024-11-02
49,DesertSnoopy,78439,1041602,2024-11-02
49,EuO,30901,1041602,2024-11-02
49,smushmarth,544612,1041602,2024-11-02
49,Meluzi,694859,1041602,2024-11-02
49,Nuckels,17106,1041602,2024-11-02
49,ullimc,1773142,1041602,2024-11-02
49,Kebabman13,287167,1041602,2024-11-02
49,tysk,15197,1041602,2024-11-02
49,Risc,244728,1041602,2024-11-02
49,Gilbeurt,1308825,1041602,2024-11-02
49,guzzna | maxono,219073,1041602,2024-11-02
49,Saftblandarn,627939,1041602,2024-11-02
65,Free Free Palestine,3647,1041602,2024-11-02
65,Explo,1908,1041602,2024-11-02
65,DeaconBlues,5187,1041602,2024-11-02
65,Creighton,443905,1041602,2024-11-02
65,Nikstrat,404066,1041602,2024-11-02
65,yelwvityee,1483045,1041602,2024-11-02
65,Snouk,1244149,1041602,2024-11-02
65,ELY | lgoopll,1805059,1041602,2024-11-02
65,Baron Brody,11226,1041602,2024-11-02
65,Schima,255564,1041602,2024-11-02
65,Kwalle,92218,1041602,2024-11-02
65,Spino,144038,1041602,2024-11-02
65,Roryx,5670,1041602,2024-11-02
65,104 | yung Ullrich,2219,1041602,2024-11-02
65,3rd,549968,1041602,2024-11-02
65,Qaush,669182,1041602,2024-11-02
65,UMF | Bruckman,49055,1041602,2024-11-02
65,Bux_Baum,1785,1041602,2024-11-02
65,Raisem,89043,1041602,2024-11-02
65,Zorniborni,3042,1041602,2024-11-02
65,Schwanzus,705530,1041602,2024-11-02
65,Fecfec,1312036,1041602,2024-11-02
65,SHIP,1855,1041602,2024-11-02
65,GG Munich | Aolong,125727,1041602,2024-11-02
65,Zorg,731218,1041602,2024-11-02
65,Elec,657591,1041602,2024-11-02
65,Dr. J,103506,1041602,2024-11-02
65,klucers,42874,1041602,2024-11-02
65,Double H,1230900,1041602,2024-11-02
65,DLC93 | Ganonborp,775530,1041602,2024-11-02
65,Skåne | CaramelUmbr,1393535,1041602,2024-11-02
65,serket,16491,1041602,2024-11-02
97,Sabo Crown,1084077,1041602,2024-11-02
97,Midgeet,7808,1041602,2024-11-02
97,stormrat,40920,1041602,2024-11-02
97,Vintrox,1534654,1041602,2024-11-02
97,Che,2970,1041602,2024-11-02
97,der_Aufraeumer,2667595,1041602,2024-11-02
97,FlinkerBär,418294,1041602,2024-11-02
97,buurthuis,2204927,1041602,2024-11-02
97,dnice,143405,1041602,2024-11-02
97,Jappe,705173,1041602,2024-11-02
97,gaR+6 | Happy,636353,1041602,2024-11-02
97,N0_Named_Guy,169269,1041602,2024-11-02
97,CGN | jagGer,145225,1041602,2024-11-02
97,MASL,232358,1041602,2024-11-02
97,SYPG | UCK,37050,1041602,2024-11-02
97,Flippy,16430,1041602,2024-11-02
97,Rober,16295,1041602,2024-11-02
97,DJ PJ757,25068,1041602,2024-11-02
97,NBL | NuclearLunch,165495,1041602,2024-11-02
97,1Tab,176035,1041602,2024-11-02
97,fys | Cyric,51135,1041602,2024-11-02
97,Occi,143039,1041602,2024-11-02
97,zeventien,367793,1041602,2024-11-02
97,FGCA | Synchron,164970,1041602,2024-11-02
97,HIYA,1374428,1041602,2024-11-02
97,Matty,745978,1041602,2024-11-02
97,Smash Hannover | Hektor,1700168,1041602,2024-11-02
97,rua,172427,1041602,2024-11-02
97,vlad,952709,1041602,2024-11-02
97,granny,29622,1041602,2024-11-02
97,Akaneia|Icarus | Efisio,708121,1041602,2024-11-02
97,Spleen,553584,1041602,2024-11-02
129,Komori,47711,1041602,2024-11-02
129,Keyboard | RaFa,1484826,1041602,2024-11-02
129,Hugo Prolovski,1859073,1041602,2024-11-02
129,kirbyvert,89841,1041602,2024-11-02
129,Platurt,365188,1041602,2024-11-02
129,Jumbo Shiner,1016815,1041602,2024-11-02
129,Bach,185758,1041602,2024-11-02
129,Nudelsuppe,18315,1041602,2024-11-02
129,Verankert,2971,1041602,2024-11-02
129,pewpewpew,2023595,1041602,2024-11-02
129,Obnoxxxious,603308,1041602,2024-11-02
129,Gorf,619098,1041602,2024-11-02
129,Stamo,580214,1041602,2024-11-02
129,Ziviii,2269206,1041602,2024-11-02
129,4Qs | Danubi,584276,1041602,2024-11-02
129,osna | mXW,9316,1041602,2024-11-02
129,Kelvin,683847,1041602,2024-11-02
129,larryfisherman,1443401,1041602,2024-11-02
129,MSR | Diantre,514379,1041602,2024-11-02
129,SEiFNOPA,451292,1041602,2024-11-02
129,Yoehn,188130,1041602,2024-11-02
129,L1am,1684385,1041602,2024-11-02
129,Flesh177,51413,1041602,2024-11-02
129,frum,1989367,1041602,2024-11-02
129,John,2219745,1041602,2024-11-02
129,DPU | VibVib,651638,1041602,2024-11-02
129,Boi,2154171,1041602,2024-11-02
129,Sabaca,12176,1041602,2024-11-02
129,solariiii,1821,1041602,2024-11-02
129,Aaron0Brian,2024073,1041602,2024-11-02
129,<3 | Stella,2091415,1041602,2024-11-02
129,Raxxin,1419489,1041602,2024-11-02
161,tiles,1208078,1041602,2024-11-02
161,Kiren,687100,1041602,2024-11-02
161,Wittgenstoner,926255,1041602,2024-11-02
161,Turner | meig,2255644,1041602,2024-11-02
161,lemone,800428,1041602,2024-11-02
161,Melee Bochum | Beiza,75788,1041602,2024-11-02
161,HB | yanbo,2982,1041602,2024-11-02
161,Strikeone,1943716,1041602,2024-11-02
161,MOiN | schnitte,182059,1041602,2024-11-02
161,Auftragschiller,51642,1041602,2024-11-02
161,Stuhlklapp,680307,1041602,2024-11-02
161,Randpunkt,583053,1041602,2024-11-02
161,Hirosama,173427,1041602,2024-11-02
161,Les Talons Doré,361963,1041602,2024-11-02
161,Turner | StyleStocks,405916,1041602,2024-11-02
161,Suschko,5578,1041602,2024-11-02
161,Cassiopeia,612744,1041602,2024-11-02
161,timpz,28538,1041602,2024-11-02
161,Home | Ophis,12478,1041602,2024-11-02
161,SG | EndOfStory,3092,1041602,2024-11-02
161,dango,865257,1041602,2024-11-02
161,Big Yellow,1304228,1041602,2024-11-02
161,Köter,2400526,1041602,2024-11-02
161,beni der entspannte,416596,1041602,2024-11-02
161,vlerk,45912,1041602,2024-11-02
161,CloudDrago,1358558,1041602,2024-11-02
161,0-2 Gang | Pinkbud,1841040,1041602,2024-11-02
161,mustyz,2750896,1041602,2024-11-02
161,Smash Hannover | Kweet,29441,1041602,2024-11-02
161,Schrödinger's Cat,1423867,1041602,2024-11-02
161,Marc,619864,1041602,2024-11-02
161,Trainer Olaf,48182,1041602,2024-11-02
193,T0mLunch,3383,1041602,2024-11-02
193,Paperkoopa,662571,1041602,2024-11-02
193,NEVERDOORS,676948,1041602,2024-11-02
193,Turnipdealer,385529,1041602,2024-11-02
193,KasparV,2332,1041602,2024-11-02
193,Tropico,1544385,1041602,2024-11-02
193,Jadde,28809,1041602,2024-11-02
193,Pegagingka,1314198,1041602,2024-11-02
193,Strompel,1526928,1041602,2024-11-02
193,P.E.C.K. | Protobo,640226,1041602,2024-11-02
193,Skeivt Opprør | Tranarchist,46710,1041602,2024-11-02
193,Merlin,2124718,1041602,2024-11-02
193,D4rKT1mmy,90556,1041602,2024-11-02
193,hayoshi161,1868359,1041602,2024-11-02
193,ZetTroxX,7179,1041602,2024-11-02
193,Pompf,2312331,1041602,2024-11-02
193,coffesauros,1162025,1041602,2024-11-02
193,Ridley,396585,1041602,2024-11-02
193,Reeno,2165040,1041602,2024-11-02
193,sp4nk | Eleisa,1957110,1041602,2024-11-02
193,Fl0aty,239069,1041602,2024-11-02
193,Arti,638507,1041602,2024-11-02
193,Mikko,2297858,1041602,2024-11-02
193,Wynnter,1001696,1041602,2024-11-02
193,Leknee,2289987,1041602,2024-11-02
193,J-Briz,53305,1041602,2024-11-02
193,Trichta,241568,1041602,2024-11-02
193,Tyll,168963,1041602,2024-11-02
193,soyboy,160667,1041602,2024-11-02
193,<3 | Doja,2536426,1041602,2024-11-02
193,Starmaster,642766,1041602,2024-11-02
193,GGM | BigShawarma,1877542,1041602,2024-11-02
225,Johnny Banana,770157,1041602,2024-11-02
225,BLU | Klinx,1815291,1041602,2024-11-02
225,Jana,169960,1041602,2024-11-02
225,Johnic,2259719,1041602,2024-11-02
225,SmashTurner | Lui,1886047,1041602,2024-11-02
225,RestlessWhale,6796,1041602,2024-11-02
225,OBR | Madness,570175,1041602,2024-11-02
225,Hamburg | Jan Tipper,51523,1041602,2024-11-02
225,Smash Hannover | Felix Feldmann,129179,1041602,2024-11-02
225,Willibaldo,2110716,1041602,2024-11-02
225,Gumoon,1665577,1041602,2024-11-02
225,GG Munich | FJSalt,2327356,1041602,2024-11-02
225,Aisu,,1041602,2024-11-02
225,antoine,1451734,1041602,2024-11-02
225,Pakrett,1878396,1041602,2024-11-02
225,Dancing Blade,2816362,1041602,2024-11-02
