placement,entrant_name,user_id,event_id,event_date
1,Zain,2616,1163672,2024-10-05
2,Aklo,182985,1163672,2024-10-05
3,Liquid | Hungrybox,8916,1163672,2024-10-05
4,Mango's Friend | Lucky,8768,1163672,2024-10-05
5,C9 | Mang0,11097,1163672,2024-10-05
5,FX | NOOT | SFOP,5223,1163672,2024-10-05
7,moist | moky,1672,1163672,2024-10-05
7,Joshman,53361,1163672,2024-10-05
9,FLY | Jmook,10563,1163672,2024-10-05
9,Spark,52,1163672,2024-10-05
9,Chem,476646,1163672,2024-10-05
9,Oasis | Bekvin,110642,1163672,2024-10-05
13,CG | Goosekhan,361713,1163672,2024-10-05
13,CF | JSalt,3485,1163672,2024-10-05
13,upstate | Zanya,171588,1163672,2024-10-05
13,Faust,20220,1163672,2024-10-05
17,UMF | Agent,16679,1163672,2024-10-05
17,Dawson,86809,1163672,2024-10-05
17,BTE | n0ne,664,1163672,2024-10-05
17,Khryke,181156,1163672,2024-10-05
17,CLM/JPM | Skerzo,135239,1163672,2024-10-05
17,Nanami,2648879,1163672,2024-10-05
17,niqqa jones,13104,1163672,2024-10-05
17,ZSB | Drephen,3116,1163672,2024-10-05
25,bleppi.shop | Project,41702,1163672,2024-10-05
25,YWRM | Q,140712,1163672,2024-10-05
25,Fudge,490091,1163672,2024-10-05
25,Apollo,352767,1163672,2024-10-05
25,Maher,39160,1163672,2024-10-05
25,HPR,39925,1163672,2024-10-05
25,LG | Louis,34943,1163672,2024-10-05
25,Ultra | M1sf1re,1538122,1163672,2024-10-05
33,bonfire10,409,1163672,2024-10-05
33,K8A,6856,1163672,2024-10-05
33,BLE | bambz,4394,1163672,2024-10-05
33,LG | fitzy,1497261,1163672,2024-10-05
33,eveningstar,1135401,1163672,2024-10-05
33,Paladin,37860,1163672,2024-10-05
33,Bleppi.shopBLE | Mot$,172392,1163672,2024-10-05
33,I'm Michael BTW,405514,1163672,2024-10-05
33,Matteo,2381,1163672,2024-10-05
33,Tommy,1527467,1163672,2024-10-05
33,Dimension,410247,1163672,2024-10-05
33,MATE | Kalvar,582,1163672,2024-10-05
33,DrEsportstTeam | EduPorp,368147,1163672,2024-10-05
