placement,entrant_name,user_id,event_id,event_date
1,Zain,2616,1258475,2025-03-28
2,Cody Schwab,11403,1258475,2025-03-28
3,Liquid | Hungrybox,8916,1258475,2025-03-28
4,FLY | Jmook,10563,1258475,2025-03-28
5,Tempo | Axe,10806,1258475,2025-03-28
5,Aura,34391,1258475,2025-03-28
7,Red Bull IFM | aMSa,22302,1258475,2025-03-28
7,Spark,52,1258475,2025-03-28
9,max,1640387,1258475,2025-03-28
9,RC | Zuppy,4199,1258475,2025-03-28
9,Soonsay,222015,1258475,2025-03-28
9,BTE | n0ne,664,1258475,2025-03-28
13,The Weapon,3823,1258475,2025-03-28
13,Envy | Wizzrobe,1719,1258475,2025-03-28
13,SR | Joshman,53361,1258475,2025-03-28
13,Preeminent,216765,1258475,2025-03-28
17,Inky,90114,1258475,2025-03-28
17,Eggdog | Chango,26481,1258475,2025-03-28
17,C9 | Mang0,11097,1258475,2025-03-28
17,SR | moky,1672,1258475,2025-03-28
17,Pbag | Graves,1079250,1258475,2025-03-28
17,Dacky,33997,1258475,2025-03-28
17,ASS | Stiv,630747,1258475,2025-03-28
17,SSJ | Rocket,394592,1258475,2025-03-28
25,NSE | Maher,39160,1258475,2025-03-28
25,Iron,571051,1258475,2025-03-28
25,Entropy | Luigi Ka-Master,18267,1258475,2025-03-28
25,zoist | Ampp,386596,1258475,2025-03-28
25,Polo,44920,1258475,2025-03-28
25,OG Kid,1492275,1258475,2025-03-28
25,salami,194471,1258475,2025-03-28
25,L7 | Agent,16679,1258475,2025-03-28
33,Anchovy,32128,1258475,2025-03-28
33,Snap,74,1258475,2025-03-28
33,DarkGenex,16895,1258475,2025-03-28
33,306 | Unruly,78982,1258475,2025-03-28
33,OkamiBW,30225,1258475,2025-03-28
33,Mono,94352,1258475,2025-03-28
33,NE | BluePiñata,881045,1258475,2025-03-28
33,Younger,339,1258475,2025-03-28
33,cliché,591308,1258475,2025-03-28
33,Espi,1271,1258475,2025-03-28
33,Surfero,10510,1258475,2025-03-28
33,DayDream,5131,1258475,2025-03-28
33,Beezy,48710,1258475,2025-03-28
33,FD | Foo,8910,1258475,2025-03-28
33,Goodie,739438,1258475,2025-03-28
33,Fiction,24347,1258475,2025-03-28
49,RC 69% | Nickemwit,49,1258475,2025-03-28
49,duckrobin,94483,1258475,2025-03-28
49,Antislycer,494800,1258475,2025-03-28
49,Venison,201366,1258475,2025-03-28
49,Phorox,635655,1258475,2025-03-28
49,SaltInYourEye,2643776,1258475,2025-03-28
49,shmugs,23932,1258475,2025-03-28
49,306 | Amrak,408501,1258475,2025-03-28
49,Hagabooga,515751,1258475,2025-03-28
49,Zemi,1740128,1258475,2025-03-28
49,Valk,94498,1258475,2025-03-28
49,306 | Tammy,228675,1258475,2025-03-28
49,Pbag,929610,1258475,2025-03-28
49,OGAGO | Blue-Eyes White Quiggles,2134,1258475,2025-03-28
49,Studebacher Hoch,73852,1258475,2025-03-28
49,I'm Michael BTW,405514,1258475,2025-03-28
65,Vincessant,7185,1258475,2025-03-28
65,Ober,21256,1258475,2025-03-28
65,Zvara,1470350,1258475,2025-03-28
65,yield,9682,1258475,2025-03-28
65,BABA | shama,1028555,1258475,2025-03-28
65,MSI | Symbol,76937,1258475,2025-03-28
65,VL! | Kevon,437682,1258475,2025-03-28
65,TheBenjiest,1564478,1258475,2025-03-28
65,Schism | Pbag | FREE BOBBY,50919,1258475,2025-03-28
65,Sprite | Jiffy,193438,1258475,2025-03-28
65,Joshuwasha,5316,1258475,2025-03-28
65,TheKibk,612809,1258475,2025-03-28
65,Ding Hing,86051,1258475,2025-03-28
65,69% VV | Zaza,75283,1258475,2025-03-28
65,steez,18396,1258475,2025-03-28
65,Jontae,14299,1258475,2025-03-28
65,PapaD,76552,1258475,2025-03-28
65,Cubs,49282,1258475,2025-03-28
65,Naztoise,5244,1258475,2025-03-28
65,Goose,18708,1258475,2025-03-28
65,Vish,3591,1258475,2025-03-28
65,PapaNoJohns,4652,1258475,2025-03-28
65,SK | Smoke,393082,1258475,2025-03-28
65,Lacroix,10000,1258475,2025-03-28
65,yeemans,7128,1258475,2025-03-28
65,Rivera,382477,1258475,2025-03-28
65,kneeil,49572,1258475,2025-03-28
65,Aurelion,1963646,1258475,2025-03-28
65,ukemelee,342813,1258475,2025-03-28
65,White Lightning,1540264,1258475,2025-03-28
65,lincoln,2774056,1258475,2025-03-28
65,Sage,5184,1258475,2025-03-28
97,KaiKwonDo,141847,1258475,2025-03-28
97,TXH | Fabreeze,238857,1258475,2025-03-28
97,Gronk,1835929,1258475,2025-03-28
97,Jam,1980554,1258475,2025-03-28
97,Eddi,715164,1258475,2025-03-28
97,Metroxe,2715,1258475,2025-03-28
97,SGS | Puffmother,173990,1258475,2025-03-28
97,Galint | Doby,34762,1258475,2025-03-28
97,wagabooga,77069,1258475,2025-03-28
97,surskim,10995,1258475,2025-03-28
97,$40 Cheese String,2058585,1258475,2025-03-28
97,Hyperflame,4443,1258475,2025-03-28
97,DM | Trevor,6426,1258475,2025-03-28
97,true | Life,216,1258475,2025-03-28
97,PRZ | TitusMelee,133063,1258475,2025-03-28
97,Nero,74494,1258475,2025-03-28
97,Uncle Gubsy,42378,1258475,2025-03-28
97,Kia,49099,1258475,2025-03-28
97,[Delta],678134,1258475,2025-03-28
97,kai,1735498,1258475,2025-03-28
97,Cobalt,33649,1258475,2025-03-28
97,Pbag | Schlauf,1690255,1258475,2025-03-28
97,BiscuitTricks,14005,1258475,2025-03-28
97,TXH | Amy <3,1017321,1258475,2025-03-28
97,Grimelines,2960235,1258475,2025-03-28
97,Yardsale,15943,1258475,2025-03-28
97,HNi | big gizmo,661665,1258475,2025-03-28
97,IHAVEANULCER,94471,1258475,2025-03-28
97,119 | Fire,12717,1258475,2025-03-28
97,Spingles,38346,1258475,2025-03-28
97,FatShiny,411551,1258475,2025-03-28
97,Blunted_Object10,48834,1258475,2025-03-28
129,Soreo,731730,1258475,2025-03-28
129,Burbo,12030,1258475,2025-03-28
129,Merlisker,12934,1258475,2025-03-28
129,Trev,74978,1258475,2025-03-28
129,Pardofelis,75437,1258475,2025-03-28
129,Red Lego,6351,1258475,2025-03-28
129,Dright,25387,1258475,2025-03-28
129,Akey,181681,1258475,2025-03-28
129,Antonio99,124085,1258475,2025-03-28
129,<AKA> | $ini$t3R,18171,1258475,2025-03-28
129,FalcoB*****d55,5127,1258475,2025-03-28
129,Bryan,93137,1258475,2025-03-28
129,ALL 5 | Johannes,69692,1258475,2025-03-28
129,Push$,995395,1258475,2025-03-28
129,CHWK | Perrilox,19821,1258475,2025-03-28
129,Xest,4294,1258475,2025-03-28
129,arranamus,2012844,1258475,2025-03-28
129,GUAT,261739,1258475,2025-03-28
129,sorta,138665,1258475,2025-03-28
129,The White Cody Schwab,439263,1258475,2025-03-28
129,Dazrin,50278,1258475,2025-03-28
129,Free Palestine | Tropix,3373,1258475,2025-03-28
129,Tumbles,2183279,1258475,2025-03-28
129,HNi | beakenblade,1014037,1258475,2025-03-28
129,TheHeroPrince,2019685,1258475,2025-03-28
129,ZOO | BROWNDOGSRCOOL42,581041,1258475,2025-03-28
129,Cole,2069229,1258475,2025-03-28
129,SSD | CarLo$,1895865,1258475,2025-03-28
129,Lotus,344343,1258475,2025-03-28
129,FREE EDGE LUCA | NoobKing,26201,1258475,2025-03-28
129,CR | Schmeez,602279,1258475,2025-03-28
129,PTP,1247558,1258475,2025-03-28
129,Bhakla,244625,1258475,2025-03-28
129,andreas | gorb,361862,1258475,2025-03-28
129,ZQF,381859,1258475,2025-03-28
129,Equi,89971,1258475,2025-03-28
129,joebro,1537991,1258475,2025-03-28
129,FruitJuice,92976,1258475,2025-03-28
129,sammy,92582,1258475,2025-03-28
129,COQ | MattC,10385,1258475,2025-03-28
129,Elm,76703,1258475,2025-03-28
129,Lisp,19586,1258475,2025-03-28
129,Kay3,50168,1258475,2025-03-28
