placement,entrant_name,user_id,event_id,event_date
1,Cody Schwab,11403,1310561,2025-05-16
2,SR | moky,1672,1310561,2025-05-16
3,Liquid | Hungrybox,8916,1310561,2025-05-16
4,Tempo | Axe,10806,1310561,2025-05-16
5,Zain,2616,1310561,2025-05-16
5,C9 | Mang0,11097,1310561,2025-05-16
7,SR | Joshman,53361,1310561,2025-05-16
7,BTE | n0ne,664,1310561,2025-05-16
9,Free Agent | Trif,14228,1310561,2025-05-16
9,Salt,75333,1310561,2025-05-16
9,Nouns | Aklo,182985,1310561,2025-05-16
9,Soonsay,222015,1310561,2025-05-16
13,FLY | Jmook,2636297,1310561,2025-05-16
13,Nouns | Junebug,2150,1310561,2025-05-16
13,Aura,34391,1310561,2025-05-16
13,Spiral | Krudo,86490,1310561,2025-05-16
