placement,entrant_name,user_id,event_id,event_date
1,Zain,2616,1243598,2025-07-05
2,Liquid | Hungrybox,8916,1243598,2025-07-05
3,FAHEYGANG | SDJ,26405,1243598,2025-07-05
4,Envy | Wizzrobe,1719,1243598,2025-07-05
5,FizzyBrax | Cody Schwab,11403,1243598,2025-07-05
5,SR | Joshman,53361,1243598,2025-07-05
7,Red Bull IFM | aMSa,22302,1243598,2025-07-05
7,Aura,34391,1243598,2025-07-05
9,SR | moky,1672,1243598,2025-07-05
9,Salt,75333,1243598,2025-07-05
9,Milk | Morsecode762,388,1243598,2025-07-05
9,RapMonster,1283196,1243598,2025-07-05
13,Soonsay,222015,1243598,2025-07-05
13,Nouns | Aklo,182985,1243598,2025-07-05
13,BLE | SluG,38172,1243598,2025-07-05
13,Zamu,15053,1243598,2025-07-05
17,Spiral | Krudo,86490,1243598,2025-07-05
17,Ossify,182926,1243598,2025-07-05
17,LIL|Spiral | MOF,439608,1243598,2025-07-05
17,BLE | Chem,476646,1243598,2025-07-05
17,Ben,467537,1243598,2025-07-05
17,The Peak/Local | Inky,90114,1243598,2025-07-05
17,Bleppi.shopBLE | Mot$,172392,1243598,2025-07-05
17,Ginger,244,1243598,2025-07-05
25,Kevbot,7115,1243598,2025-07-05
25,skrat's friend | Spark,52,1243598,2025-07-05
25,Agency | Wally,18401,1243598,2025-07-05
25,BTE | n0ne,664,1243598,2025-07-05
25,E-tie,146022,1243598,2025-07-05
25,Kevin Maples,31513,1243598,2025-07-05
25,upstate | Zanya,171588,1243598,2025-07-05
25,CTRL | Chickenman400,48446,1243598,2025-07-05
33,CG | Goosekhan,361713,1243598,2025-07-05
33,MOJOE,9071,1243598,2025-07-05
33,Nicki,12872,1243598,2025-07-05
33,L7 | Freezus,16650,1243598,2025-07-05
33,306 | Polo,44920,1243598,2025-07-05
33,Nouns | irfan,18348,1243598,2025-07-05
33,DAD | :3 | Jude,98230,1243598,2025-07-05
33,Agent,16679,1243598,2025-07-05
33,Negat!ve,188199,1243598,2025-07-05
33,Jah Ridin',1903,1243598,2025-07-05
33,Maelstrom,223528,1243598,2025-07-05
