placement,entrant_name,user_id,event_id,event_date
1,Cody Schwab,11403,1293979,2025-04-26
2,SR | Joshman,53361,1293979,2025-04-26
3,Nouns | Nicki,12872,1293979,2025-04-26
4,Nouns | MOF,439608,1293979,2025-04-26
5,FLY | Jmook,10563,1293979,2025-04-26
5,C9 | Mang0,11097,1293979,2025-04-26
7,SR | moky,1672,1293979,2025-04-26
7,Nouns | Aklo,182985,1293979,2025-04-26
9,Zain,2616,1293979,2025-04-26
9,Nouns | Junebug,2150,1293979,2025-04-26
9,Magi,2878,1293979,2025-04-26
9,Tempo | Axe,10806,1293979,2025-04-26
13,NOOT | Panda,18544,1293979,2025-04-26
13,Local | mgmg,31971,1293979,2025-04-26
13,Krudo,86490,1293979,2025-04-26
13,TheRealThing,4283,1293979,2025-04-26
17,Sirmeris,39796,1293979,2025-04-26
17,Nouns | Beezy,48710,1293979,2025-04-26
17,Soonsay,222015,1293979,2025-04-26
17,Drephen,3116,1293979,2025-04-26
17,DarkGenex,16895,1293979,2025-04-26
17,Mono,94352,1293979,2025-04-26
17,The Local | Faust,20220,1293979,2025-04-26
17,VDL | Just,653058,1293979,2025-04-26
25,BLE | Panos,10523,1293979,2025-04-26
25,:3 | Jude,98230,1293979,2025-04-26
25,Lowercase hero,162095,1293979,2025-04-26
25,Local | BING,35700,1293979,2025-04-26
25,Balloon Day,298629,1293979,2025-04-26
25,Project D | JoJo,95843,1293979,2025-04-26
25,skyguy | fknsilver,136077,1293979,2025-04-26
25,Lil | Plup,10439,1293979,2025-04-26
33,NOUNS | Maher,39160,1293979,2025-04-26
33,i4,1440596,1293979,2025-04-26
33,RC | Zuppy,4199,1293979,2025-04-26
33,Mooshies,482161,1293979,2025-04-26
33,true | Holiday,3952,1293979,2025-04-26
33,ZSB fell OU | M1sf1re,1538122,1293979,2025-04-26
33,OG Kid,1492275,1293979,2025-04-26
33,Famelee - | Mr.Rit,1308889,1293979,2025-04-26
33,Ble$$é,1199988,1293979,2025-04-26
33,BLE | SluG,38172,1293979,2025-04-26
33,MATE | Kalvar,582,1293979,2025-04-26
33,YouTube Family | Boyd,91492,1293979,2025-04-26
33,max,1640387,1293979,2025-04-26
33,THE LOCAL | erik...,35884,1293979,2025-04-26
33,BLE | Jeandolla,98178,1293979,2025-04-26
33,zoist | Ampp,386596,1293979,2025-04-26
49,Grab2Win,42505,1293979,2025-04-26
49,Ferrety,357318,1293979,2025-04-26
49,HPR,39925,1293979,2025-04-26
49,Artan,43857,1293979,2025-04-26
49,VDL | Maeve,945758,1293979,2025-04-26
49,ODSY | voorhese,3532,1293979,2025-04-26
49,Stockholm Syndrome,216775,1293979,2025-04-26
49,Legion,103373,1293979,2025-04-26
49,SuperGinger,97129,1293979,2025-04-26
49,SSV | SpiceOrange,41345,1293979,2025-04-26
49,HFR | Jisp,48542,1293979,2025-04-26
49,Famelee | Fecfec,1312036,1293979,2025-04-26
49,That Fox Guy | Suidt,1082,1293979,2025-04-26
49,SmallHandsBrian,141807,1293979,2025-04-26
49,MOOSE,46782,1293979,2025-04-26
49,SwebBy,2013998,1293979,2025-04-26
65,1der,1564718,1293979,2025-04-26
65,VDL | zboo13,45330,1293979,2025-04-26
65,717 | Teatime Tim,3916,1293979,2025-04-26
65,COTHUG | true | dark beast,1311521,1293979,2025-04-26
65,Apes! | Benny,506115,1293979,2025-04-26
65,WeissClimbers,31514,1293979,2025-04-26
65,C4 | MISTER BUSINESSPERSON,720797,1293979,2025-04-26
65,COFUG TG TRUE | iphone,221720,1293979,2025-04-26
65,JHTL,45149,1293979,2025-04-26
65,ODSY | Reck,2124834,1293979,2025-04-26
65,KrillKilla,96132,1293979,2025-04-26
65,Jink,1343672,1293979,2025-04-26
65,VDL | Wonov,77480,1293979,2025-04-26
65,poopyjoe,183071,1293979,2025-04-26
65,Professor Peen,17636,1293979,2025-04-26
65,CORN | BY15,6121,1293979,2025-04-26
65,spencie,175538,1293979,2025-04-26
65,fell | Thrive,556067,1293979,2025-04-26
65,ODSY | Bard,164695,1293979,2025-04-26
65,BLE | bambz,4394,1293979,2025-04-26
65,Quist,13588,1293979,2025-04-26
65,Skel,446754,1293979,2025-04-26
65,Kandayo,13766,1293979,2025-04-26
65,ayeGiohh,368003,1293979,2025-04-26
65,pace,1367876,1293979,2025-04-26
65,Enderdxg,95239,1293979,2025-04-26
65,pickles,1887821,1293979,2025-04-26
65,C4 | Charlie Wu,277789,1293979,2025-04-26
65,fLc | Jank,9288,1293979,2025-04-26
65,69% | LXIX,2246,1293979,2025-04-26
65,Vish,3591,1293979,2025-04-26
65,GG | | YungWaff,518,1293979,2025-04-26
97,Ferriswheel,1312,1293979,2025-04-26
97,Ghast,12012,1293979,2025-04-26
97,Elm,159603,1293979,2025-04-26
97,Seraph,13462,1293979,2025-04-26
97,"Jonny ""Gumball"" Gamble",4054,1293979,2025-04-26
97,Schmeez,602279,1293979,2025-04-26
97,MATE | 22K,94878,1293979,2025-04-26
97,Odyssey | Gracen,320,1293979,2025-04-26
97,true | ChoiceCuts,1397746,1293979,2025-04-26
97,true | Majunior,2001425,1293979,2025-04-26
97,CEOFUG | cz,506223,1293979,2025-04-26
97,SM | Jester,1463910,1293979,2025-04-26
97,ODSY | nitus,41980,1293979,2025-04-26
97,Mel,824146,1293979,2025-04-26
97,true | Dust,36954,1293979,2025-04-26
97,surf's up. hail satan.,3732,1293979,2025-04-26
97,Ashley,590210,1293979,2025-04-26
97,CPW,27155,1293979,2025-04-26
97,ODSY | Rowbie,3893,1293979,2025-04-26
97,USAE | SRM13,995706,1293979,2025-04-26
97,Amac,240326,1293979,2025-04-26
97,NotChrisFarley,204370,1293979,2025-04-26
97,WG | no!no! | tomdollars,52576,1293979,2025-04-26
97,Deep Fox,1267,1293979,2025-04-26
97,VDL | Weo Weo Jax,33825,1293979,2025-04-26
97,Nas | FantaDaGoat,1230461,1293979,2025-04-26
