placement,entrant_name,user_id,event_id,event_date
1,LLD | Cody Schwab,11403,1505665,2025-12-05
2,FLY | Jmook,10563,1505665,2025-12-05
3,Zain,2616,1505665,2025-12-05
4,Liquid | Hungrybox,8916,1505665,2025-12-05
5,SR | Joshman,53361,1505665,2025-12-05
5,lloD,10070,1505665,2025-12-05
7,Soonsay,222015,1505665,2025-12-05
7,Tempo | Axe,10806,1505665,2025-12-05
9,Lil Nouns | Trif,14228,1505665,2025-12-05
9,SR | moky,1672,1505665,2025-12-05
9,SDJ,26405,1505665,2025-12-05
9,Nouns | Nicki,12872,1505665,2025-12-05
13,Nouns | Aklo,182985,1505665,2025-12-05
13,Red Bull IFM | aMSa,2676201,1505665,2025-12-05
13,Goodie,739438,1505665,2025-12-05
13,Spiral | Krudo,86490,1505665,2025-12-05
