placement,entrant_name,user_id,event_id,event_date
1,Cody Schwab,11403,1302306,2025-06-07
2,Zain,2616,1302306,2025-06-07
3,Spiral | Krudo,86490,1302306,2025-06-07
4,Red Bull IFM | aMSa,22302,1302306,2025-06-07
5,C9 | Mang0,11097,1302306,2025-06-07
5,lloD,10070,1302306,2025-06-07
7,Free Agent | Trif,14228,1302306,2025-06-07
7,Magi,2878,1302306,2025-06-07
9,Nouns | Aklo,182985,1302306,2025-06-07
9,Soonsay,222015,1302306,2025-06-07
9,SDJ,26405,1302306,2025-06-07
9,MF | KoDoRiN,17545,1302306,2025-06-07
13,Lil | Plup,10439,1302306,2025-06-07
13,Ossify,182926,1302306,2025-06-07
13,NOOT | Panda,18544,1302306,2025-06-07
13,69% | Fiction,24347,1302306,2025-06-07
17,SR | moky,1672,1302306,2025-06-07
17,Tempo | Axe,10806,1302306,2025-06-07
17,Nouns | Nicki,12872,1302306,2025-06-07
17,Nouns|asdidown | MOF,439608,1302306,2025-06-07
17,Salt,75333,1302306,2025-06-07
17,Envy | Wizzrobe,1719,1302306,2025-06-07
17,BLE | Chem,476646,1302306,2025-06-07
17,Mango's Friend | Lucky,8768,1302306,2025-06-07
25,FLY | Jmook,10563,1302306,2025-06-07
25,Nouns | Junebug,2150,1302306,2025-06-07
25,upstate | Zanya,171588,1302306,2025-06-07
25,Spark,52,1302306,2025-06-07
25,BLE | SluG,38172,1302306,2025-06-07
25,JChu,1841288,1302306,2025-06-07
25,Dawson,86809,1302306,2025-06-07
25,true | Holiday,3952,1302306,2025-06-07
33,Liquid | Hungrybox,8916,1302306,2025-06-07
33,OkayP.,273503,1302306,2025-06-07
33,UWRF | Ben,467537,1302306,2025-06-07
33,BTE | n0ne,664,1302306,2025-06-07
33,Drephen,3116,1302306,2025-06-07
33,MF | KJH,137,1302306,2025-06-07
33,TheRealThing,4283,1302306,2025-06-07
33,The Local | Faust,20220,1302306,2025-06-07
33,Nouns | Rikzz,80454,1302306,2025-06-07
33,Maelstrom,223528,1302306,2025-06-07
33,[ass] | Stiv,630747,1302306,2025-06-07
33,Lowercase hero,162095,1302306,2025-06-07
33,Grab,155892,1302306,2025-06-07
33,Bleppi.shopBLE | Mot$,172392,1302306,2025-06-07
33,Tipped Off | CAUP,28105,1302306,2025-06-07
33,Adwan,39992,1302306,2025-06-07
49,Wally,18401,1302306,2025-06-07
